# Time-averaged data for fix 3
tstep t T P density a b c Etot Eke Epe Epair
3425 113700 128.838 35.0109 1.1734 38.3782 38.3782 38.3782 -727.155 383.657 -1110.81 -1110.81
3450 113800 127.995 50.5581 1.17353 38.3768 38.3768 38.3768 -727.93 381.148 -1109.08 -1109.08
3475 113900 131.549 92.132 1.17854 38.3224 38.3224 38.3224 -719.389 391.731 -1111.12 -1111.12
3500 114000 134.083 122.934 1.18353 38.2685 38.2685 38.2685 -715.169 399.275 -1114.44 -1114.44
3525 114100 129.55 98.9847 1.18582 38.2438 38.2438 38.2438 -735.256 385.778 -1121.03 -1121.03
3550 114200 126.708 86.3814 1.1875 38.2257 38.2257 38.2257 -747.737 377.315 -1125.05 -1125.05
3575 114300 130.325 94.7886 1.19004 38.1985 38.1985 38.1985 -739.895 388.084 -1127.98 -1127.98
3600 114400 133.336 126.023 1.19263 38.1709 38.1709 38.1709 -728.769 397.053 -1125.82 -1125.82
3625 114500 128.956 167.042 1.19198 38.1778 38.1778 38.1778 -730.858 384.009 -1114.87 -1114.87
3650 114600 127.138 101.209 1.18545 38.2477 38.2477 38.2477 -739.78 378.594 -1118.37 -1118.37
3675 114700 127.979 61.1365 1.17893 38.3181 38.3181 38.3181 -734.817 381.101 -1115.92 -1115.92
3700 114800 135.234 41.5512 1.17747 38.3339 38.3339 38.3339 -717.954 402.703 -1120.66 -1120.66
3725 114900 129.809 104.933 1.18115 38.2941 38.2941 38.2941 -722.956 386.548 -1109.5 -1109.5
3750 115000 126.124 83.9771 1.18512 38.2513 38.2513 38.2513 -741.463 375.575 -1117.04 -1117.04
3775 115100 123.821 95.0324 1.19034 38.1953 38.1953 38.1953 -751.785 368.719 -1120.5 -1120.5
3800 115200 133.599 150.527 1.19553 38.14 38.14 38.14 -724.269 397.836 -1122.11 -1122.11
3825 115300 132.518 190.44 1.19505 38.1451 38.1451 38.1451 -719.393 394.616 -1114.01 -1114.01
3850 115400 129.059 114.126 1.18569 38.2452 38.2452 38.2452 -730.181 384.315 -1114.5 -1114.5
3875 115500 127.325 23.7126 1.17541 38.3563 38.3563 38.3563 -738.308 379.151 -1117.46 -1117.46
3900 115600 126.338 49.8826 1.17245 38.3886 38.3886 38.3886 -731.04 376.213 -1107.25 -1107.25
3925 115700 134.412 87.494 1.17514 38.3593 38.3593 38.3593 -707.472 400.257 -1107.73 -1107.73
3950 115800 128.71 165.464 1.17852 38.3226 38.3226 38.3226 -711.245 383.276 -1094.52 -1094.52
3975 115900 130.648 105.83 1.17619 38.3478 38.3478 38.3478 -715.192 389.049 -1104.24 -1104.24
4000 116000 128.603 37.6992 1.17302 38.3824 38.3824 38.3824 -727.79 382.957 -1110.75 -1110.75
4025 116100 126.635 -5.07301 1.17673 38.342 38.342 38.342 -745.501 377.096 -1122.6 -1122.6
4050 116200 125.356 112.774 1.19059 38.1926 38.1926 38.1926 -744.299 373.289 -1117.59 -1117.59
4075 116300 135.567 208.217 1.20309 38.0599 38.0599 38.0599 -715.98 403.697 -1119.68 -1119.68
4100 116400 136.879 147.104 1.20514 38.0383 38.0383 38.0383 -726.039 407.603 -1133.64 -1133.64
4125 116500 129.66 110.085 1.20136 38.0782 38.0782 38.0782 -747.124 386.105 -1133.23 -1133.23
4150 116600 128.899 54.4648 1.19694 38.1249 38.1249 38.1249 -756.665 383.84 -1140.5 -1140.5
4175 116700 126.517 92.77 1.19652 38.1294 38.1294 38.1294 -756.826 376.745 -1133.57 -1133.57
4200 116800 130.041 171.454 1.19648 38.1299 38.1299 38.1299 -733.519 387.24 -1120.76 -1120.76
4225 116900 133.491 134.743 1.18991 38.1999 38.1999 38.1999 -723.841 397.514 -1121.35 -1121.35
4250 117000 126.696 110.921 1.17871 38.3205 38.3205 38.3205 -729.834 377.278 -1107.11 -1107.11
4275 117100 132.165 4.48633 1.16796 38.4377 38.4377 38.4377 -722.455 393.564 -1116.02 -1116.02
4300 117200 133.572 37.0217 1.16641 38.4547 38.4547 38.4547 -708.751 397.754 -1106.51 -1106.51
4325 117300 135.593 92.1413 1.17177 38.396 38.396 38.396 -699.216 403.773 -1102.99 -1102.99
4350 117400 130.768 93.6211 1.1783 38.3249 38.3249 38.3249 -719.479 389.404 -1108.88 -1108.88
4375 117500 127.908 103.919 1.18531 38.2492 38.2492 38.2492 -734.33 380.888 -1115.22 -1115.22
4400 117600 127.955 165.399 1.19108 38.1873 38.1873 38.1873 -730.517 381.027 -1111.54 -1111.54
4425 117700 136.638 122.311 1.19072 38.1912 38.1912 38.1912 -718.383 406.885 -1125.27 -1125.27
4450 117800 127.189 103.252 1.18713 38.2297 38.2297 38.2297 -740.9 378.747 -1119.65 -1119.65
4475 117900 124.523 66.622 1.18353 38.2684 38.2684 38.2684 -749.331 370.807 -1120.14 -1120.14
4500 118000 129.899 69.9524 1.18335 38.2704 38.2704 38.2704 -734.287 386.817 -1121.1 -1121.1
4525 118100 131.882 117.173 1.18607 38.2411 38.2411 38.2411 -725.087 392.723 -1117.81 -1117.81
4550 118200 129.658 149.263 1.187 38.2311 38.2311 38.2311 -726.343 386.101 -1112.44 -1112.44
4575 118300 128.649 91.7431 1.18327 38.2712 38.2712 38.2712 -735.067 383.094 -1118.16 -1118.16
4600 118400 123.89 61.897 1.18 38.3065 38.3065 38.3065 -747.576 368.924 -1116.5 -1116.5
4625 118500 127.188 98.2298 1.18053 38.3008 38.3008 38.3008 -732.255 378.745 -1111 -1111
4650 118600 133.392 112.307 1.18134 38.2921 38.2921 38.2921 -714.475 397.219 -1111.69 -1111.69
4675 118700 134.128 57.3704 1.18178 38.2873 38.2873 38.2873 -725.031 399.41 -1124.44 -1124.44
4700 118800 126.642 93.7837 1.18594 38.2425 38.2425 38.2425 -741.919 377.12 -1119.04 -1119.04
4725 118900 127.163 150.2 1.19087 38.1896 38.1896 38.1896 -735.446 378.669 -1114.12 -1114.12
4750 119000 132.818 152.356 1.19097 38.1886 38.1886 38.1886 -720.616 395.51 -1116.13 -1116.13
4775 119100 131.344 121.493 1.18494 38.2533 38.2533 38.2533 -721.954 391.119 -1113.07 -1113.07
4800 119200 129.056 65.9398 1.17659 38.3435 38.3435 38.3435 -728.267 384.306 -1112.57 -1112.57
4825 119300 126.131 82.1116 1.17088 38.4058 38.4058 38.4058 -725.306 375.598 -1100.9 -1100.9
4850 119400 130.977 58.9039 1.16759 38.4418 38.4418 38.4418 -714.71 390.027 -1104.74 -1104.74
4875 119500 129.497 103.519 1.16765 38.4411 38.4411 38.4411 -709.137 385.621 -1094.76 -1094.76
4900 119600 134.503 69.7072 1.16832 38.4338 38.4338 38.4338 -703.075 400.527 -1103.6 -1103.6
4925 119700 127.822 59.0789 1.17198 38.3937 38.3937 38.3937 -723.984 380.632 -1104.62 -1104.62
4950 119800 126.803 72.3026 1.18028 38.3035 38.3035 38.3035 -734.545 377.597 -1112.14 -1112.14
4975 119900 131.545 144.925 1.19149 38.183 38.183 38.183 -725.602 391.72 -1117.32 -1117.32
5000 120000 134.645 174.866 1.19846 38.1089 38.1089 38.1089 -722.558 400.949 -1123.51 -1123.51
5025 120100 125.988 144.076 1.19751 38.1189 38.1189 38.1189 -749.841 375.171 -1125.01 -1125.01
5050 120200 124.198 122.837 1.19142 38.1837 38.1837 38.1837 -750.264 369.841 -1120.1 -1120.1
5075 120300 129.587 84.1708 1.18287 38.2755 38.2755 38.2755 -731.054 385.887 -1116.94 -1116.94
5100 120400 131.477 43.9691 1.17605 38.3494 38.3494 38.3494 -723.663 391.517 -1115.18 -1115.18
5125 120500 130.012 46.3587 1.17491 38.3618 38.3618 38.3618 -724.896 387.154 -1112.05 -1112.05
5150 120600 128.62 71.875 1.17969 38.3099 38.3099 38.3099 -730.165 383.008 -1113.17 -1113.17
5175 120700 126.55 105.45 1.18768 38.2238 38.2238 38.2238 -739.145 376.844 -1115.99 -1115.99
5200 120800 131.689 96.542 1.19578 38.1373 38.1373 38.1373 -737.436 392.147 -1129.58 -1129.58
5225 120900 130.182 144.796 1.20339 38.0567 38.0567 38.0567 -740.049 387.659 -1127.71 -1127.71
5250 121000 129.06 117.684 1.20709 38.0178 38.0178 38.0178 -753.154 384.318 -1137.47 -1137.47
5275 121100 124.876 125.606 1.20835 38.0046 38.0046 38.0046 -765.793 371.86 -1137.65 -1137.65
5300 121200 128.703 158.692 1.20659 38.0231 38.0231 38.0231 -750.574 383.254 -1133.83 -1133.83
5325 121300 131.997 161.602 1.19819 38.1117 38.1117 38.1117 -732.025 393.065 -1125.09 -1125.09
5350 121400 127.967 108.921 1.1834 38.2698 38.2698 38.2698 -733.738 381.065 -1114.8 -1114.8
