# Time-averaged data for fix 3
tstep t T P Etot Eke Epe Epair
7550 30200 130.385 -118.799 -579.736 388.264 -968 -968
7575 30300 131.212 -84.825 -569.75 390.726 -960.477 -960.477
7600 30400 129.446 -61.7692 -569.832 385.467 -955.299 -955.299
7625 30500 130.198 -47.0925 -564.802 387.707 -952.509 -952.509
7650 30600 134.811 -30.0422 -549.018 401.445 -950.463 -950.463
7675 30700 132.657 -19.4964 -552.342 395.03 -947.371 -947.371
7700 30800 124.253 -13.6888 -571.254 370.004 -941.258 -941.258
7725 30900 130.673 -56.7904 -563.26 389.12 -952.381 -952.381
7750 31000 134.405 -66.5825 -553.795 400.236 -954.031 -954.031
7775 31100 126.647 -80.8009 -574.469 377.132 -951.6 -951.6
7800 31200 125.577 -121.028 -584.547 373.946 -958.493 -958.493
7825 31300 130.931 -115.957 -569.967 389.891 -959.858 -959.858
7850 31400 132.642 -84.7952 -559.189 394.986 -954.175 -954.175
7875 31500 130.633 -89.8701 -565.885 389.002 -954.888 -954.888
7900 31600 121.27 -90.6392 -590.322 361.12 -951.442 -951.442
7925 31700 125.69 -79.7383 -576.941 374.284 -951.224 -951.224
7950 31800 131.371 -89.5397 -564.511 391.2 -955.712 -955.712
7975 31900 131.238 -90.4364 -566.369 390.805 -957.174 -957.174
8000 32000 125.882 -61.3954 -574.243 374.854 -949.097 -949.097
8025 32100 133.322 -89.8618 -562.405 397.009 -959.414 -959.414
8050 32200 136.657 -90.0983 -553.576 406.941 -960.518 -960.518
8075 32300 129.064 -119.397 -581.817 384.331 -966.149 -966.149
8100 32400 127.618 -109.525 -587.8 380.023 -967.824 -967.824
8125 32500 127.226 -43.0939 -577.544 378.858 -956.403 -956.403
8150 32600 134.407 -36.6496 -559.596 400.242 -959.838 -959.838
8175 32700 130.014 -12.1569 -564.018 387.159 -951.178 -951.178
8200 32800 129.325 -28.028 -568.931 385.109 -954.04 -954.04
8225 32900 130.762 -60.1576 -572.775 389.387 -962.163 -962.163
8250 33000 120.653 -60.1132 -597.926 359.283 -957.209 -957.209
8275 33100 127.349 -81.5567 -585.358 379.223 -964.581 -964.581
8300 33200 131.42 -59.6252 -569.289 391.346 -960.636 -960.636
8325 33300 129.875 -27.2063 -565.667 386.744 -952.412 -952.412
8350 33400 132.948 -44.6842 -562.868 395.895 -958.763 -958.763
8375 33500 126.969 -51.6098 -579.651 378.091 -957.742 -957.742
8400 33600 123.911 -58.2344 -587.952 368.986 -956.937 -956.937
8425 33700 131.371 -59.7414 -567.447 391.2 -958.647 -958.647
8450 33800 132.543 -65.8856 -564.158 394.689 -958.848 -958.848
8475 33900 130.048 -80.1684 -573.844 387.261 -961.105 -961.105
8500 34000 127.919 -82.1117 -579.67 380.921 -960.59 -960.59
8525 34100 133.302 -113.363 -572.203 396.95 -969.153 -969.153
